context1	context2	label
he removed the [ top ] of the carton	covering for a hole (especially a hole in the top of a container)	T
A reduction in the assessment per [ head ] of sheep	a single domestic animal	T
a [ sense ] of self	a general conscious awareness	T
before they publish any book they try to determine the size of the [ market ] for it	the customers for a particular product or service	T
The maths problem is a real [ snorter ] , is n't it ?	something outstandingly difficult	T
the winning [ score ] came with less than a minute left to play	the act of scoring in a game or sport	T
there was a shocked [ silence ]	the state of being silent (as when no one is speaking)	T
that 's the [ way ] it is	the condition of things generally	T
Mark 's health was of great [ concern ] to Connie .     The recent events in London are of no concern to most people in Australia .	something that interests you because it is important or affects you	T
this is the [ one ] I ordered	a single person or thing	T
the [ chain ] of command	a series of things depending on each other as if linked together	T
he works at a great [ rate ]	the relative speed of progress or change	T
My [ neighbour ] is very irritable and grumpy at times .	a person who lives (or is located) near another	T
the wee small [ voice ] of conscience	something suggestive of speech in being a medium of expression	T
The incarnation is a basic [ doctrine ] of classical Christianity .	a belief (or system of beliefs) accepted as authoritative by some group or school	T
he bought his brother 's [ business ]	a commercial or industrial enterprise and the people who constitute it	T
the lawyer questioned the [ truth ] of my account	the quality of being near to the true value	T
he did a [ stretch ] in the federal penitentiary	an unbroken period of time during which you do something	T
it was his [ area ] of specialization	a subject of study	T
Hypnosis is a peculiar [ condition ] of the nervous system .     Steps were taken to ameliorate the condition of slavery .     Security is defined as the condition of not being threatened .     Aging is a condition over which we are powerless .	a state at a particular time	T
a Cadillac makes a [ statement ] about who you are	a nonverbal message	T
what [ position ] does he play ?	(in team sports) the role assigned to an individual player	T
a [ war ] of wits	an active struggle between competing entities	T
I gave the waiter my [ order ]	a request for something to be made, supplied, or served	T
the gene [ inactivation ] system	the process of rendering inactive	T
I had no further [ trade ] with him	a particular instance of buying or selling	T
he turned the box over to examine the bottom [ side ]	an extended outer surface of an object	T
The Welsh government claims that Cardiff is Europe 's youngest [ capital ] .	a seat of government	T
they polled their [ membership ]	the body of members of an organization or group	T
He managed to show a bold [ face ] despite his embarrassment .	the general outward appearance of something	T
Space [ travel ]	the act of going from one place to another	T
This is my [ house ] and my family 's ancestral home .	a dwelling that serves as living quarters for one or more families	T
the subjects ' [ set ] led them to solve problems the familiar way and to overlook the simpler solution	(psychology) being temporarily ready to respond in a particular way	T
the mayor threw out the first [ ball ]	round object that is hit or thrown or kicked in games	T
The house gave me a [ feeling ] of dread .	the experiencing of affective and emotional states	T
This Chinese [ year ] is the year of the Rooster .	a period of time containing 365 (or 366) days	T
a congregation is a [ vehicle ] of group identity	a medium for the expression or achievement of something	T
dew dripped from the [ face ] of the leaf	a surface forming part of the outside of an object	T
he detected a [ note ] of sarcasm	a characteristic emotional quality	T
a serious [ loss ] of business	gradual decline in amount or activity	T
it took more than half my [ time ]	a period of time considered as a resource under your control and sufficient to accomplish something	T
a heroic [ figure ]	the impression produced by a person	T
The [ part ] of his hair was slightly to the left .	a line of scalp that can be seen when sections of hair are combed in opposite directions	T
the [ didacticism ] expected in books for the young	communication that is suitable for or intended to be instructive	T
the [ quality ] of students has risen	a degree or grade of excellence or worth	T
The photo is a little dark in that [ area ] .	the extent of a 2-dimensional surface enclosed within a boundary	T
The [ apparition ] of Lawyer Clippurse occasioned much speculation in that portion of the world . – Sir W. Scott .	an act of appearing or becoming visible unexpectedly	T
she has a heart of [ gold ]	something likened to the metal in brightness or preciousness or superiority etc.	T
they were disappointed by the poor returns on their stock [ portfolio ]	a list of the financial assets held by an individual or a bank or other financial institution	T
recent federal [ action ] undermined the segregationist position	an act by a government body or supranational organization	T
he stuck his [ head ] out the window	the upper part of the human body or the front part of the body in animals; contains the face and brains	T
that kid is a terrible [ pain ]	a bothersome annoying person	T
he took a deep [ breath ] and dived into the pool	the process of taking in and expelling air during breathing	T
the cooling [ touch ] of the night air	the event of something coming in contact with the body	T
Can I have a [ dozen ] eggs , please ?	the cardinal number that is the sum of eleven and one	T
as a result of the [ blowout ] we lost all the lights	a sudden malfunction of a part or apparatus	T
hardly enough elbow [ room ] to turn around	space for movement	T
She had a [ smile ] on her face .	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement	T
he was surprised by the [ absence ] of any explanation	the state of being absent	T
How much [ furniture ] did they leave behind ?	furnishings that make a room or other area ready for occupancy	T
I can not think it a [ hardship ] that more indulgence is allowed to men than to women"- James Boswell	something that causes or entails suffering; - James Boswell	T
Mayonnaise is an [ emulsion ] where egg is used to keep oil and water mixed .	(chemistry) a colloid in which both phases are liquids	T
Our children attend a public [ school ] in our neighborhood .	an educational institution	T
the gardener planted a [ bed ] of roses	a plot of ground in which plants are growing	T
God 's [ grace ] is manifested in the salvation of sinners	(Christian theology) the free and unmerited favor or beneficence of God	T
the [ object ] of my affection	the focus of cognitions or feelings	T
they had stock [ footage ] of lightning , tornados , and hurricanes	film that has been shot	T
Many sunken ships rest on the ocean [ floor ] .	the lower inside surface of any hollow structure	T
To apply for the position , complete the application [ form ] .	a printed document with spaces in which to write	T
they drew up a six - step [ plan ]	a series of steps to be carried out or goals to be accomplished	T
he recalled the [ experience ] vividly	the content of direct observation or participation in an event	T
He did n't want his pockets to bulge so he was walking around with all his [ stuff ] in his hands .	miscellaneous unspecified objects	T
the reason that the agency is doomed to inaction has something to do with the FBI [ culture ]	the attitudes and behavior that are characteristic of a particular social group or organization	T
it was a bum [ rap ]	a reproach for some lapse or misdeed	T
By [ law ] , one is not allowed to own a wallaby in New York City .	the collection of rules imposed by authority	T
200 [ head ] of cattle and 50 head of horses	a single domestic animal	T
his [ conflict ] of interest made him ineligible for the post	a state of opposition between persons or ideas or interests	T
barbecue over an open [ fire ]	fuel that is burning and is used as a means for cooking	T
you are in no [ danger ]	the condition of being susceptible to harm or injury	T
they stopped selling in exact sizes in order to reduce [ inventory ]	the merchandise that a shop has on hand	T
he recorded the spoken [ language ] of the streets	(language) communication by word of mouth	T
in careful usage the noun [ enormity ] is not used to express the idea of great size	vastness of size or extent	T
The [ shortness ] of a stubby pencil	the property of being truncated or short	T
So that 's fifteen - [ love ] to Kournikova .	a score of zero in tennis or squash	T
A [ block ] of stone .	a solid piece of something (usually having flat rectangular sides)	T
his coin collection included the complete [ series ] of Indian - head pennies	a group of postage stamps having a common theme or a group of coins or currency selected as a group for study or collection	T
sand of a fine [ grain ]	the physical composition of something (especially with respect to the size and shape of the small constituents of a substance)	T
Their [ assumption ] of his guilt disqualified them from jury duty .	a hypothesis that is taken for granted	T
it is [ time ] to go	a suitable moment	T
He can have the [ run ] of the house .	unrestricted freedom to use	T
he wrote a letter of [ apology ] to the hostess	an expression of regret at having caused trouble for someone	T
the [ hum ] of distant traffic	a humming noise	T
a political system with no [ place ] for the less prominent groups	an abstract mental location	T
political [ convention ]	a large formal assembly	T
it is not work but [ worry ] that kills	a strong feeling of anxiety	T
We hiked through the Andes mountain [ range ] .	a series of hills or mountains	T
Sorry , girls , I suck [ dick ] .	obscene terms for penis	T
his display of [ foulness ] deserved severe punishment	disgusting wickedness and immorality	T
We 're expecting a large [ party ] from the London office .	a group of people gathered together for pleasure	T
The pit [ floor ] showed where a ring of post holes had been .	the lower inside surface of any hollow structure	T
I am not of your [ persuasion ]	a personal belief or judgment that is not founded on proof or certainty	T
the [ appointment ] had to be approved by the whole committee	the act of putting a person into a non-elective position	T
a prison [ term ]	a limited period of time	T
he played [ baseball ] in high school	a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs	T
my [ neighborhood ] voted for Bush	people living near one another	T
the [ poison ] of fascism	anything that harms or destroys	T
A peasant is not allowed to fall in love with a lady of [ quality ] .	high social status	T
the simultaneous [ optimization ] of growth and profitability	the act of rendering optimal	T
US [ date ] : 05/24/08 = Tuesday , May 24th , 2008 . UK date : 24/05/08 = Tuesday 24th May 2008 .	the particular day, month, or year (usually according to the Gregorian calendar) that an event occurred	T
the doctor recommended regular [ exercise ]	the activity of exerting your muscles in various ways to keep fit	T
he threw a [ rock ] at me	a lump or mass of hard consolidated mineral matter	T
a filming [ session ]	a meeting devoted to a particular activity	T
Napoleon III was an [ echo ] of the mighty Emperor but an infinitely better man	a close parallel of a feeling, idea, style, etc.	T
you do n't have the [ stuff ] to be a United States Marine	unspecified qualities required to do or be something	T
he followed on [ foot ]	travel by walking	T
At five years of age this [ head ] of cattle is worth perhaps $ 40	a single domestic animal	T
The medical resident finished a two - week [ rotation ] in pediatrics and began one in orthopaedics .	a planned recurrent sequence (of crops or personnel etc.)	T
spiritual [ bankruptcy ]	a state of complete lack of some abstract property	T
an [ indication ] of foul play	something that serves to indicate or suggest	T
There is a hurricane in the [ vicinity ] of the Bahamas .	a surrounding or nearby region	T
Tow is flax with short [ staple ] .	a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn	T
He celebrated after the [ sale ] of company .	an agreement (or contract) in which property is transferred from the seller (vendor) to the buyer (vendee) for a fixed price in money (paid or agreed to be paid by the buyer)	T
the enemy offered little [ resistance ]	the military action of resisting the enemy's advance	T
The " [ war ] on terror " is a campaign against terrorist crime .	a concerted campaign to end something that is injurious	T
exercise gave him a good [ stomach ] for dinner	an appetite for food	T
Does n't that [ patch ] of clouds looks like a bunny ?	a period of indeterminate length (usually short) marked by some action or condition	T
it ended on a sour [ note ]	a characteristic emotional quality	T
the whole [ school ] turned out for the game	an educational institution's faculty and students	T
the duties of citizenship are lost sight of in the [ wilderness ] of interests of individuals and groups	a bewildering profusion	T
They are having a clearance [ sale ] : 50 % off .	an occasion (usually brief) for buying at specially reduced prices	T
the [ weakness ] of the span was overlooked until it collapsed	the property of lacking physical or mental strength; liability to failure under pressure or stress or strain	T
his dreams all turned to [ smoke ]	something with no concrete substance	T
the clone was a [ copy ] of its ancestor	a thing made to be similar or identical to another thing	T
bad [ luck ] caused his downfall	an unknown and unpredictable phenomenon that causes an event to result one way rather than another	T
they had a nice [ stay ] in Paris	continuing or remaining in a place or state	T
Bernoulli 's [ principle ] ;     The http://en.wikipedia.org/wiki/Pauli_exclusion_principle Pauli Exclusion Principle prevents two fermions from occupying the same state .     The principle of the internal combustion engine	a basic truth or law or assumption	T
A [ grain ] of sand	a relatively small granular particle of a substance	T
In all [ likelihood ] the meeting will be cancelled .	the probability of a specified outcome	T
He gave up on [ life ] .	the condition of living or the state of being alive	T
We saw a two - act [ play ] in the theatre .	a dramatic work intended for performance by actors on a stage	T
A solid [ border ] around a table of figures	a decorative recessed or relieved surface on an edge	T
the [ practice ] of the law	the exercise of a profession	T
you would be a [ dingbat ] even to try it	a silly empty-headed person	T
The village [ fool ] threw his own shoes down the well .	a person who lacks good judgment	T
A [ procession ] of mourners ; the Lord Mayor 's procession	the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation	T
A [ treatment ] or cure is applied after a medical problem has already started .	care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)	T
the only city of any [ size ] in that area	a large magnitude	T
it worked up to right [ now ]	the momentary present	T
How great thou [ art ] !	a superior skill that you can learn by study and practice and observation	T
they set out on their [ return ] to the base camp	the act of going back to a prior location	T
frustrated by the [ narrowness ] of people 's horizons	a restriction of range or scope	T
[ demobilization ] of factories	act of changing from a war basis to a peace basis including disbanding or discharging troops	T
Piecas kronas — five [ krona ]	the basic unit of money in Sweden	T
the United Nations must have the power to propose and organize [ action ] without being hobbled by irrelevant issues	an act by a government body or supranational organization	T
I 'll just go to the [ lumberyard ] and buy some more two by fours so we can finish building this .	a workplace where lumber is stocked for sale	T
It 's common [ sense ] not to put metal objects in a microwave oven .	sound practical judgment	T
He has a sinister [ smile ] .	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement	T
in a weak financial [ state ]	the way something is with respect to its main attributes	T
the Times is not the [ voice ] of New York	a means or agency by which something is expressed or communicated	T
A good teacher is essential for a good [ education ] .	the activities of educating or instructing; activities that impart knowledge or skill	T
Can I buy you a [ drink ] ?	a single serving of a beverage	T
the car pulled off onto the [ shoulder ]	a narrow edge of land (usually unpaved) along the side of a road	T
law and [ order ]	established customary state (especially of society)	T
She has a pretty [ face ] .	the front of the human head from the forehead to the chin and ear to ear	T
his stories were too susceptible to [ ulteriority ]	the quality of being ulterior	T
That tree was hit by [ lightning ] .	the flash of light that accompanies an electric discharge in the atmosphere (or something resembling such a flash); can scintillate for a second or more	T
caught in the [ mire ] of poverty	a difficulty or embarrassment that is hard to extricate yourself from	T
it should arrive any [ day ] now	some point or period in time	T
he worked for price [ stabilization ] for farm products	the act of stabilizing something or making it more stable	T
You were in the courtroom . What is your [ reaction ] ?	a bodily process occurring due to the effect of some antecedent stimulus or agent	T
.. and [ neap ] tides ( tides that occur during the first and third quarters of the moon and that have the least difference between high and low tides ) , ... — Richard M. Schlenker and Sarah J. Yoshida , " Developing Science Activities " , Science Activities , Vol . 32 Issue 2 , p34 , 7p , 3 charts , Summer , 1995	a less than average tide occurring at the first and third quarters of the moon	T
They were pleased about their [ move ] to the country .	the act of changing your residence or place of business	T
The teaching consists of theory lessons and [ case ] studies .	a special set of circumstances	T
he came to a bad [ end ]	a final state	T
[ room ] to pass	space for movement	T
This led to an unfortunate [ chain ] of events .	a series of things depending on each other as if linked together	T
he got a [ refill ] of his prescription	a prescription drug that is provided again	T
city [ life ]	a characteristic state or mode of living	T
When I last tried to eat strawberries I had a terrible allergic [ reaction ] .	a bodily process occurring due to the effect of some antecedent stimulus or agent	T
A person makes his [ appearance ] as an historian , an artist , or an orator .	the act of appearing in public view	T
social [ life ]	a characteristic state or mode of living	T
he had a religious [ experience ]	the content of direct observation or participation in an event	T
I envied his rapid [ buildup ] of assets	the act of building up an accumulation	T
he borrowed a large [ sum ]	a quantity of money	T
The iPhone [ application ] VR+ connects to major social networks .	a program that gives a computer instructions that provide the user with tools to accomplish a task	T
I love [ beer ] but I know it is bad for you .	a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops	T
the distinctive [ ring ] of the church bell	the sound of a bell ringing; ; ; --E. A. Poe	T
it was a busy [ day ] on the stock exchange	the recurring hours when you are not sleeping (especially those when you are working)	T
they fought to regain the lost [ ground ]	a position to be won or defended in battle (or as if in battle)	T
My headache has no [ connection ] with me going out last night .	the state of being connected	T
the [ ringing ] of the telephone	the sound of a bell ringing; ; ; --E. A. Poe	T
he altered the [ complexion ] of his times	a point of view or general attitude or inclination	T
he 's a meticulous [ dresser ]	a person who dresses in a particular way	T
the [ grocery ] store included a meat market	a marketplace where groceries are sold	T
a [ notice ] of sale	an announcement containing information about an event; ; ; "a notice of sale	T
The right reader of a good poem can tell the moment it strikes him that he has taken an immortal [ wound ] -- that he will never get over it "-- Robert Frost	a figurative injury (to your feelings or pride); ; ; --Robert Frost	T
he gave the brat a good [ spanking ]	the act of slapping on the buttocks	T
earthquakes originate far below the [ surface ]	the outermost level of the land or sea	T
They made an [ appointment ] to meet at six .	a meeting arranged in advance	T
he was in the [ employ ] of the city	the state of being employed or having a job	T
when you have a [ monopoly ] you can ask any price you like	(economics) a market in which there are many buyers but only one seller	T
he had become an [ institution ] in the theater	a custom that for a long time has been an important feature of some group or society	T
the deterrent [ power ] of nuclear weapons	possession of controlling influence	T
it was about 500 square feet in [ area ]	the extent of a 2-dimensional surface enclosed within a boundary	T
The [ death ] of my grandmother saddened the whole family .	the event of dying or departure from life	T
a [ set ] of golf clubs	a group of things of the same kind that belong together and are so used	T
There are some who question the [ scale ] of our ambitions .	the ratio between the size of something and a representation of it	T
Hey , buddy , you got a [ light ] ?	a device for lighting or igniting fuel or charges or fires	T
that is enough for the [ present ]	the period of time that is happening now; any continuous stretch of time including the moment of speech	T
I have the [ authority ] to penalise the staff in my department , but not the authority to sack them .	the power or right to give orders or make decisions	T
every artist needs an [ audience ]	the part of the general public interested in a source of information or entertainment	T
the rate of [ unemployment ] is an indicator of the health of an economy	the state of being unemployed or not having a job	T
an [ entreaty ] to stop the fighting	earnest or urgent request	T
the [ formation ] of crystals	natural process that causes something to form	T
a [ sense ] of happiness	a general conscious awareness	T
a time [ period ] of 30 years	an amount of time	T
the immigrants spoke an odd [ dialect ] of English	the usage or vocabulary that is characteristic of a specific group of people	T
Charm is his most endearing [ property ] .	a basic or essential attribute shared by all members of a class	T
I got some great bargains at their annual [ sale ]	an occasion (usually brief) for buying at specially reduced prices	T
he has the [ one ] but will need a two and three to go with it	the smallest whole number or a numeral representing this number	T
he works for the United States [ mail ] service	the system whereby messages are transmitted via the post office	T
she called it a [ day ] and went to bed	the recurring hours when you are not sleeping (especially those when you are working)	T
While being impulsive can be great for artists , it is not a desirable [ quality ] for engineers .	an essential and distinguishing attribute of something or someone; --Shakespeare	T
he invented a technique to determine the [ sequence ] of base pairs in DNA	serial arrangement in which things follow in logical order or a recurrent pattern	T
He came out of the coal [ mine ] with a face covered in black .	excavation in the earth from which ores and minerals are extracted	T
the motor was out of [ commission ]	the state of being in good working order and ready for operation	T
a [ component ] or constituent element of a system	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system	T
he felt as if his whole [ body ] were on fire	the entire structure of an organism (an animal, plant, or human being)	T
he placed a phone [ call ] to London	a telephone connection	T
I could n't believe my [ luck ] when I found a fifty dollar bill on the street .	an unknown and unpredictable phenomenon that causes an event to result one way rather than another	T
He set his e - mail message 's [ priority ] to high .	status established in order of importance or urgency	T
I caught him with a solid [ shot ] to the chin	a blow hard enough to cause injury	T
deep in her breast lives the silent [ wound ]	a figurative injury (to your feelings or pride); ; ; --Robert Frost	T
he jumped into the [ drink ] and had to be rescued	any large deep body of water	T
This [ trombone ] is very expensive .	a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide	T
A [ tautology ] can be verified by constructing a truth tree for its negation : if all of the leaf nodes of such truth tree end in X 's , then the original ( pre - negated ) formula is a tautology .	(logic) a statement that is necessarily true	T
the president no longer has the [ support ] of his own party	aiding the cause or policy or interests of	T
the government tried to accelerate the [ commercialization ] of this development	the act of commercializing something; involving something in commerce	T
he overstepped his [ place ]	proper or designated social situation	T
the assembly line was on a 12-hour [ run ]	the continuous period of time during which something (a machine or a factory) operates or continues in operation	T
A [ leak ] in a roof	the discharge of a fluid from some container	T
The new law will come into [ effect ] on the first day of next year .	(of a law) having legal validity	T
the architect left [ space ] in front of the building	an empty area (usually bounded in some way between things)	T
The store is huge , occupying an entire city [ block ] .	a rectangular area in a city surrounded by streets and usually containing several buildings	T
A roller [ cot ] ( the clothing of a drawing roller in a spinning frame )	a sheath worn to protect a finger	T
a [ drain ] on resources	a gradual depletion of energy or resources	T
a small mom - and - pop [ business ]	a commercial or industrial enterprise and the people who constitute it	T
As a Greek numeral , [ iota ] represents ten .	the 9th letter of the Greek alphabet	T
in the [ day ] of the dinosaurs	an era of existence or influence	T
he checked the [ direction ] and velocity of the wind	the spatial relation between something and the course along which it points or moves	T
This building used to be a [ church ] before being converted into a library .	a place for public (especially Christian) worship	T
England coach Sven Göran Eriksson hailed midfielder David Beckham as possibly the best [ passer ] in the world . - http://news.bbc.co.uk/sport1/hi/football/world_cup_2002/1354920.stm BBC Sport - Eriksson salutes Beckham brilliance	a student who passes an examination	T
the [ machinery ] of command labored and brought forth an order	a system of means and activities whereby a social institution functions	T
there was a [ drop ] in pressure in the pulmonary artery	a sudden sharp decrease in some quantity	T
they collected and cut their own [ firewood ]	wood used for fuel	T
That guy keeps interrupting the concert . Throw the [ bum ] out !	person who does no work	T
Which [ side ] of the tray shall I put it on ?	either the left or right half of a body	T
" A is a [ hyponym ] of B " means that " A is a type of B. "	a word that is more specific than a given word	T
a lazy [ bum ]	person who does no work	T
There should n't be more than two [ dozen ] Christmas cards left to write .	the cardinal number that is the sum of eleven and one	T
[ life ] depends on many chemical and physical processes	the condition of living or the state of being alive	T
Place a [ check ] by the things you have done .	a mark indicating that something has been noted or completed etc.	T
he spoke in a nervous [ tone ] of voice	the quality of a person's voice	T
he uttered harsh [ language ]	(language) communication by word of mouth	T
the [ art ] of conversation	a superior skill that you can learn by study and practice and observation	T
he looked for books with the word ` jazz ' in the [ title ]	the name of a work of art or literary composition etc.	T
To fall off a [ point ]	any of 32 horizontal directions indicated on the card of a compass	T
there was a certain [ woodenness ] in his replies	the quality of being wooden and awkward	T
Unauthorized [ reproduction ] of this article is prohibited .	the act of making copies	T
The gift of [ language ]	a systematic means of communicating by the use of sounds or conventional symbols	T
they improve their [ product ] every year	an artifact that has been created by someone or some process	T
the Cotswolds were once at the [ forefront ] of woollen manufacturing in England	the position of greatest importance or advancement; the leading position in any movement or field	T
He was arrested and taken down to Sun Hill [ nick ] police station to be charged .	(British slang) a prison	T
a [ ball ] of fire	an object with a spherical shape	T
the family owned a large [ estate ] on Long Island	extensive landed property (especially in the country) retained by the owner for his own use	T
he drank a [ cup ] of coffee	the quantity a cup will hold	T
by no [ stretch ] of the imagination	extension to or beyond the ordinary limit	T
put your books on [ top ] of the desk	the highest or uppermost side of anything	T
he planted a [ field ] of wheat	a piece of land cleared of trees and usually enclosed	T
The noblemen visited the queen in her [ court ] .	the residence of a sovereign or nobleman	T
may the [ force ] be with you	one possessing or exercising power or influence or authority	T
he heard the phone ringing but did n't want to take the [ call ]	a telephone connection	T
I 've always had a [ liking ] for reading	a feeling of pleasure and enjoyment	T
He passed all the exams with [ ease ] .	freedom from difficulty or hardship or effort	T
A book about a time machine that can transport people back into the [ past ]	the time that has elapsed	T
To say crossing the street was brave was quite a [ stretch ] .	the act of physically reaching or thrusting out	T
she made the [ boy ] brush his teeth every night	a youthful male person	T
I could n't get his words out of my [ head ]	that which is responsible for one's thoughts and feelings; the seat of the faculty of reason	T
A peach [ stone ]	the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed	T
the plane was just a [ speck ] in the sky	a very small spot	T
the [ time ] is 10 o'clock	a reading of a point in time as given by a clock	T
I made many mistakes in my [ youth ] , but learned from them all .	the time of life between childhood and maturity	T
a good [ ear ] for pitch	good hearing	T
Would you be a dear and get me a cup of [ tea ] , please ?	dried leaves of the tea shrub; used to make tea	T
the [ number ] of parameters is small	the property possessed by a sum or total or indefinite quantity of units or individuals	T
It just wo n't make much of a [ difference ] to anyone .	a significant change	T
The annual report has been my [ baby ] since September .	a project of personal concern to someone	T
The [ move ] into my fiancé 's house took two long days .	the act of changing your residence or place of business	T
the [ war ] against crime	a concerted campaign to end something that is injurious	T
no escape from the [ ghetto ] of the typing pool	any segregated mode of living or working that results from bias or stereotyping	T
the [ cold ] helped clear his head	the sensation produced by low temperatures	T
a bald [ spot ]	a small contrasting part of something	T
a [ length ] of tubing	a section of something that is long and narrow	T
book [ fair ]	gathering of producers to promote business	T
The band returned to the [ stage ] to play an encore .	a large platform on which people can stand and can be seen by an audience	T
show me where the [ business ] was today	the volume of commercial activity	T
If you do n't give me a [ reason ] to go with you , I wo n't .	a rational motive for a belief or action	T
I lost my locket in this [ patch ] of grass here .	a period of indeterminate length (usually short) marked by some action or condition	T
his [ nomination ] was hotly protested	the condition of having been proposed as a suitable candidate for appointment or election	T
He was a rotund , jolly man with a [ twinkle ] in his eye .	merriment expressed by a brightness or gleam or animation of countenance	T
for your [ sake ]	a reason for wanting something done	T
[ cold ] is a vasoconstrictor	the absence of heat	T
he stood on the [ right ]	location near or direction toward the right side; i.e. the side to the south when a person or object faces east	T
the surface had a greasy [ feeling ]	the sensation produced by pressure receptors in the skin	T
[ grade ] A milk	a number or letter indicating quality (especially of a student's performance)	T
renewed jitters in the wake of a [ blip ] in retail sales	a sudden minor shock or meaningless interruption	T
toe the [ line ]	acting in conformity	T
a gossip [ session ]	a meeting devoted to a particular activity	T
We had a wonderful [ time ] at the party .	a person's experience on a particular occasion	T
We walked with a quick , even [ rhythm ] .	the basic rhythmic unit in a piece of music	T
a biochemical [ profile ] of blood	an analysis (often in graphical form) representing the extent to which something exhibits various characteristics	T
she 's an elegant [ dresser ]	a person who dresses in a particular way	T
the [ change ] was intended to increase sales	an event that occurs when something passes from one state or phase to another	T
It is the usual [ practice ] of employees there to wear neckties only when meeting with customers .	a customary way of operation or behavior	T
she bought a lovely [ piece ] of china	an item that is an instance of some type	T
the house was filled with [ company ] when I arrived	a social gathering of guests or companions	T
the [ production ] of white blood cells	the act or process of producing something	T
The teenager could n't bear the [ shame ] of introducing his parents .	a state of dishonor	T
They come from a faraway [ land ] .	the solid part of the earth's surface	T
The [ question ] of seniority will be discussed at the meeting .	the subject matter at issue	T
their quarterback was a good [ scrambler ]	a rapid mover; someone who scrambles	T
Iron fillings drawn by the [ pull ] of a magnet	the force used in pulling	T
the machine is now in working [ order ]	a condition of regular or proper arrangement	T
my horse lost the race by a [ nose ]	a small distance	T
at a [ distance ] of ten years he had forgotten many of the details	a remote point in time	T
they say [ luck ] is a lady	an unknown and unpredictable phenomenon that leads to a favorable outcome	T
she has a [ thing ] about him	a persistent illogical feeling of desire or aversion	T
the movie demanded a dramatic [ canvas ] of sound	the setting for a narrative or fictional or dramatic account	T
The present [ ministry ] of the Holy Spirit	the work of a minister of religion	T
the Japanese were active last week on the diplomatic [ front ]	a sphere of activity involving effort	T
They agreed to see each other at the bus [ stop ] .	a spot where something halts or pauses	T
the collar has a [ tab ] with a button hole	a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it	T
campaigning in his own [ behalf ]	for someone's benefit (usually expressed as `in behalf' rather than `on behalf' and usually with a possessive)	T
The centimetre is a [ unit ] of length .	any division of quantity accepted as a standard of measurement or exchange	T
any line joining two points on a [ plane ] lies wholly on that plane	(mathematics) an unbounded two-dimensional shape	T
he was here for a little [ while ]	a period of indeterminate length (usually short) marked by some action or condition	T
in the [ interest ] of safety	a reason for wanting something done	T
his horse won by a [ head ]	the length or height based on the size of a human or animal head	T
in the [ black ] of night	total absence of light	T
he used a piece of [ tape ] for a belt	a long thin piece of cloth or paper as used for binding or fastening	T
he gave his [ word ]	a promise	T
the word is a basic linguistic [ unit ]	an individual or group or structure or other entity regarded as a structural or functional constituent of a whole	T
he had a [ drop ] too much to drink	a small indefinite quantity (especially of a liquid); ; ; ; --Kipling	T
they measured the station 's signal [ strength ]	the amount of energy transmitted (as by acoustic or electromagnetic radiation)	T
the new line of cars will soon be on [ sale ]	the state of being purchasable; offered or exhibited for selling	T
She wanted to wipe him off the [ face ] of the earth .	a surface forming part of the outside of an object	T
His friend 's opinion had an [ impact ] on his decision .	a forceful consequence; a strong effect	T
wage [ stabilization ] is necessary for industrial peace	the act of stabilizing something or making it more stable	T
the slow [ development ] of her skill as a writer	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	T
there 's no place like [ home ]	an environment offering affection and security	T
I did n't have a good [ deal ] all evening .	the cards held in a card game by a given player at any given time	T
The lawyer took a [ cut ] of the profits .	a share of the profits	T
The [ meaning ] of life	the message that is intended or expressed or signified	T
She 's got a perfect [ smile ] .	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement	T
When is your [ baby ] due ?	a very young mammal	T
Who 's got [ dibs ] on the chips ?	a claim of rights	T
the wall had a smooth [ texture ]	the feel of a surface or a fabric	T
after that [ day ] she never trusted him again	some point or period in time	T
A mountain [ pass ]	the location in a range of mountains of a geological formation that is lower than the surrounding peaks	T
it was a package [ deal ]	a particular instance of buying or selling	T
Under - five [ mortality ] rate is the probability per 1,000 that a newborn baby will die before reaching age five , if subject to current age - specific mortality rates .	the ratio of deaths in an area to the population of that area; expressed per 1000 per year	T
a [ patch ] of clouds	a small contrasting part of something	T
Please turn down the [ volume ] on the stereo .	the magnitude of sound (usually in a specified direction)	T
Would you like some [ tea ] ?	dried leaves of the tea shrub; used to make tea	T
The product is undergoing a [ change ] in order to improve it .	an event that occurs when something passes from one state or phase to another	T
to my immense [ gratification ] he arrived on time	state of being gratified or satisfied	T
The green [ party ] took 12 % of the vote .	an organization to gain political power	T
